Sigla;Nome;Car†ter;Qualis
LINZ;Linz Seminar on Fuzzy Set Theory;;B4
LION;Learning and Intelligent Optimization;;B4
LoCA;International Symposium on Location- and Context-Awareness;;B2
LocWeb;International Workshop on Location and the Web;;B4
LOPSTR;International Symposium on Logic-based Program Synthesis and Transformation;INTERNACIONAL;B3
LPAR;Logic Programming and Automated Reasoning;INTERNACIONAL;B1
LPMA;International Workshop on Logic Programming and Multi-Agents;INTERNACIONAL;
LPNMR;International Conference on Logic Programming and Non-monotonic Reasoning;INTERNACIONAL;B1
LREC;International Conference on Language Resources and Evaluation;INTERNACIONAL;A2
LSFA;Workshop on Logical and Semantic Frameworks, with Applications;;B4
LTCES;ACM SIGPLAN Conference on Languages, Tools, and Compilers for Embedded Systems;INTERNACIONAL;
m-ICTE;International Conference on Multimedia and ICT in Education;;B5
M4M;Methods for Modalities;;B4
MABS;International Workshop on Multi-Agent-Based Simulation;INTERNACIONAL;B3
MAMA;Workshop on Mathematical Performance Modeling and Analysis;INTERNACIONAL;
MASCOTS;IEEE International Symposium on Modeling Analysis and Simulation of Computer and Telecommunication Systems;INTERNACIONAL;A2
MASS;IEEE International Conference on Mobile Ad-hoc and Sensor Systems;INTERNACIONAL;B1
MATA;International Workshop on Mobility Aware Technologies and Applications;INTERNACIONAL;B2
MATES;German Conference on Multiagent System Technologies;;B2
Matheuristics;International Workshop on Model-based metaheuristics;;B4
MCCSIS;IADIS International Conference Web Based Communities and Social Media;;B5
MCM;International Conference on Mathematics and Computation in Music;;B4
MCO;International Conference on Modelling, Computation and Optimization in Information Systems and Management Sciences;;B4
MCS;International Workshop on Multiple Classifier Systems;INTERNACIONAL;B1
MDA;International Conference on Mobile Data Access/Management;INTERNACIONAL;
MDA/MDM;International Conference on Mobile Data Access/Management;;A2
MDAI;Modeling Decisions for Artificial Intelligence;INTERNACIONAL;B3
MDM;IEEE International Conference on Mobile Data Management;;A2
Med-Hoc-Net;IEEE IFIP Annual Mediterranean Ad Hoc Networking Workshop;;B4
MEDINFO;International Health Medical) Informatics Congress;INTERNACIONAL;B1
MESH;International Conference on Advances in Mesh Networks;;B4
META;International Conference on Metaheuristics and Nature Inspired Computing;;B5
METMBS;International Conference on Mathematics and Engineering Techniques in Medicine and Biological Sciences;INTERNACIONAL;B4
METRICS;IEEE International Software Metrics Symposium;INTERNACIONAL;
MEWS;International Workshop on Mining for Enhanced Web Search;INTERNACIONAL;B5
MFCS;International Symposium on Mathematical Foundations of Computer Science;INTERNACIONAL;B1
MFI;IEEE International Conference on Multisensor Fusion and Integration for Intelligent Systems;;B2
MFPS;Mathematical Foundations of Programming Semantics;INTERNACIONAL;B4
MGC;International Workshop on Middleware for Grid Computing;INTERNACIONAL;B3
MIC;Metaheuristic International Conference;INTERNACIONAL;B3
MICAI;Mexican International Conference on Artificial Intelligence;;B2
MICCAI;International Conference on Medical Image Computing and Computer Assisted Intervention;INTERNACIONAL;A1
MICRO;International Symposium on Microarchitecture;INTERNACIONAL;A1
Middleware;ACM/IFIP/USENIX International Middleware Conference;INTERNACIONAL;A2
MINES;International Conference on Multimedia Information Networking and Security;;B4
MIR;ACM International Workshop on Multimedia Information Retrieval;INTERNACIONAL;
MIS;Workshop on Multimedia Information Systems;INTERNACIONAL;B4
MISTA;Multidisciplinary International Scheduling Conference: Theory and Applications;INTERNACIONAL;B5
MKM;Mathematical Knowledge Management;;B2
ML;IADIS International Conference on Mobile Learning;;B3
MLDM;IAPR International Conference on Machine Learning and Data Mining;INTERNACIONAL;B2
MLMTA;International Conference on Machine Learning and Applications;INTERNACIONAL;B4
MLSP;IEEE International Workshop on Machine Learning for Signal Processing;INTERNACIONAL;B2
MMAR;IEEE IFAC International Conference on Methods and Models in Automation and Robotics;INTERNACIONAL;B4
MMBIA;IEEE Computer Society Workshops on Mathematical Methods in Biomedical Image Analysis;INTERNACIONAL;B2
MMCN;ACM/SPIE Multimedia Computing and Networking;INTERNACIONAL;B3
MME;IEEE International Conference on Multimedia in Educaá∆on;INTERNACIONAL;
MMEDIA;International Conference on Advances in Multimedia;;B4
MMM;International Multi-Media Modelling Conference;INTERNACIONAL;B1
MMNS;IFIP/IEEE Conference on Management of Multimedia Networks and Services;INTERNACIONAL;B3
MMSP;International Workshop on Multimedia Signal Processing;INTERNACIONAL;B2
MMSys;ACM SIGMM Conference on Multimedia Systems;;B3
MMVR;Annual Medicine Meets Virtual Reality Conference;INTERNACIONAL;B4
MNSA;International Workshop on Multimedia Network Systems and Applications;INTERNACIONAL;
MobiCASE;Mobile Computing, Applications, and Services;;B4
MOBICOM;ACM International Conference on Mobile Computing and Networking;INTERNACIONAL;A1
MobiDE;Workshop on Data Engineering for Wireless and Mobile Access;INTERNACIONAL;B2
MOBIHOC;ACM Symposium of Mobile and Ad-hoc Computing;INTERNACIONAL;A1
MobileHCI;International Conference on Human-Computer Interaction with Mobile Devices and Services;INTERNACIONAL;A2
MOBILITY;Mobility Conference;;B3
MOBIMEDIA;International Conference on Mobile Multimedia Communications;;B4
Mobiquitous;International Conference on Mobile and Ubiquitous Systems: Networks and Services;INTERNACIONAL;B1
Mobisys;International Conference on Mobile Systems, Applications, and Services;INTERNACIONAL;A1
MobiWac;ACM International Workshop on Mobility Management and Wireless Access;INTERNACIONAL;B3
MODELS;ACM/IEEE International Conference on Model-Driven Engineering Languages and Systems;INTERNACIONAL;A2
MoDISE-EUS;Model Driven Information Systems Engineering: Enterprise, User and System Models;;B5
MODSIM;International Congress on Modelling and Simulation;INTERNACIONAL;B3
MOMPES;IEEE International Workshop on Model Based Methodologies for Pervasive and Embedded Software;;B4
MoodleMoot;MoodleMoot Brasil;;B5
MOPTA;Annual Conference on Modeling and Optimization: Theory and Applications;INTERNACIONAL;B5
MPAC;International Workshop on Middleware for Pervasive and Ad-hoc Computing;INTERNACIONAL;B3
MPC;International Conference on Mathematics of Program Construction;INTERNACIONAL;B1
MPOOL;Workshop on Multiparadigm Programming with Object Oriented Languages;INTERNACIONAL;B5
MS;Multimedia Semantics;;B4
MSA;International Conference on Multimedia Systems and Applications;;B5
MSC;IEEE Multi-conference on Systems and Control;INTERNACIONAL;B5
MSE;International Conference on Microelectronic Systems Education;INTERNACIONAL;B4
MSN;International Conference on Mobile Ad-hoc and Sensor Networks;;B3
MSR;International Workshop on Mining Software Repositories;;B1
MSV;International Conference on Modeling: Simulation and Visualization Methods;INTERNACIONAL;B4
MSVVEIS;International Workshop on Modelling, Simulation, Verification and Validation of Enterprise Information Systems;;B4
MSWIM;ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems;INTERNACIONAL;B1
MT;Machine Translation Summit;INTERNACIONAL;
MTAGS;Workshop on Many-Task Computing on Grids and Supercomputers;;B4
MTSR;International Conference on Metadata and Semantics Research;;B4
MTSummit;Machine Translation Summit;;B2
MTV;Microprocessor Test and Verification;;B3
Multimedia;ACM Multimedia Conference;;A1
MULTIPROG;Workshop on Programmability Issues for Multi-Core Computers;;B5
MUM;International Conference on Mobile and Ubiquitous Multimedia;;B2
MVA;IAPR International Workshop on Machine Vision Applications;INTERNACIONAL;B3
MWC;IEEE CAS Symposium on Emerging Technologies: Frontiers of Mobile and Wireless Communication;INTERNACIONAL;B3
MWE;Workshop on Multiword Expressions;;B3
MWSCAS;IEEE International Midwest Symposium on Circuits and Systems;INTERNACIONAL;B1
NAACL;North American Chapter of the Association for Computational Linguistics Annual Meeting;INTERNACIONAL;A1
NAFIPS;North American Fuzzy Information Processing Society International Conference;INTERNACIONAL;B2
NANO;IEEE Conference on Nanotechnology;;B4
Nanoarch;IEEE/ACM International Symposium on Nanoscale Architectures;;B4
NAS;Networking, Architecture, and Storage;;B4
NCA;IEEE International Symposium on Network Computing and Applications;INTERNACIONAL;B1
NCIS;International Conference on Network Computing and Information Security;;B5
NDSS;Usenix Networked and Distributed System Security Symposium;INTERNACIONAL;A1
NeMLaP;Joint Conference on New Methods in Language Processing and Computational Natural Language Learning;INTERNACIONAL;
Net-Con;IFIP International Conference on Network Control and Engineering for QoS: Security and Mobility;INTERNACIONAL;B4
NETCOM;International Conference on Networks & Communications;;B4
NetGames;Workshop on Network and System Support for Games;INTERNACIONAL;B1
NetStore;Network Storage Symposium;INTERNACIONAL;
Networking;IFIP International Conference on Networking;INTERNACIONAL;B1
NEW2AN;Next Generation Teletraffic and Wired/Wireless Advanced Networking;;B3
NEWCAS;IEEE North-East Workshop on Circuits and Systems;;B4
NFM;NASA Formal Methods;;B4
NGDB;International Symposium on Next Generation Database Systems and Applications;INTERNACIONAL;
NGITS;International Conference on Next Generation Information Technologies and Systems;;B4
NIDISC;Workshop on Nature Inspired Distributed Computing;INTERNACIONAL;B5
NIME;New Interfaces for Music Expression;INTERNACIONAL;B1
NIPS;Neural Information Processing Systems;INTERNACIONAL;A1
NLDB;International Conference on Applications of Natural Language to Data Bases;INTERNACIONAL;B1
NLP-KE;International Conference on Natural Language Processing and Knowledge Engineering;;B4
NLPCS;International Workshop on Natural Language Processing and Cognitive Science;INTERNACIONAL;B4
NMR;International Workshop on Non-Monotonic Reasoning;;B2
NOCARC;International Workshop on Network on Chip Architectures;;B4
NOCS;International Symposium on Networks-on-Chip;;B1
NOMS;IEEE/IFIP Network Operations and Management Symposium;INTERNACIONAL;A2
NORCHIP;The Nordic Microelectronics event;;B3
NordiCHI;Nordic Conference on Human-computer interaction;;B1
NOSSDAV;Network and Operating System Support for Digital A/V;INTERNACIONAL;A2
NPAR;Non-Photorealistic Animation and Rendering;;A2
NPC;IFIP International Conference on Network and Parallel Computing;INTERNACIONAL;B3
NSDI;Symposium on Networked Systems: Design and Implementation;INTERNACIONAL;A1
NTMS;New Technologies, Mobility and Security;;B4
NWeSP;International Conference on Next Generation Web Services Practices;INTERNACIONAL;B3
NyirCrypt;Central European Conference on Cryptography;INTERNACIONAL;B5
OASICS;OpenAcess Series in Informatics;;B5
OASIS;Foundations of Intrusion Tolerant Systems;;B5
OBI;Ontology-supported Business Intelligence;;B4
ODBASE;International Conference on Ontologies Databases and Applications of Semantics;INTERNACIONAL;B3
ODBIS;Ontologies-Based Databases and Information Systems;;B4
ODP;IFIP International Conference on Open Distributed Processing;INTERNACIONAL;B3
OKCon;Open Knowledge Conference;;B5
OL;Ontology Learning;;B4
OM;Ontology Matching;;B1
ONISW;Ontologies and Information Systems for the Semantic Web;;B4
ONTOSE;Ontology, Conceptualization and Epistemology for Information Systems, Software Engineering and Service Science;;B5
OOIS;International Conference on Object-Oriented Information Systems;;B2
OOPSLA;ACM SIGPLAN International Conference on Object-Oriented Programming, Systems, Languages, and Applications;INTERNACIONAL;A1
OPODIS;International Conference on Principles of Distributed Systems;INTERNACIONAL;B2
OPTIM;Optimization of Electrical and Electronic Equipment;;B4
OptMAS;Workshop on Optimisation in Multi-Agent Systems;;B5
OR;International Conference on Operations Research;INTERNACIONAL;B4
OSDI;Usenix Symposium on Operating Systems Design and Implementation;INTERNACIONAL;A1
OSS;International Conference on Open Source Systems;;B2
OTA;Workshop on Optimization: Theories and Applications;INTERNACIONAL;
OWLED;OWLED Workshop on OWL: Experiences and Directions;;B1
OZCHI;Australasian Computer-Human Interaction Conference;;B1
P2P;International Conference on Peer-to-Peer Computing;INTERNACIONAL;A2
PAAMS;International Conference on Practical Applications of Agents and Multiagent Systems;;B4
PAAP;International Symposium on Parallel Architectures, Algorithms and Programming;;B5
PACCS;Pacific-Asia Conference on Circuits, Communications and Systems;;B4
PACIFICVIS;IEEE Pacific Visualization Symposium;;B3
PACT;International Conference on Parallel Architectures and Compilation Techniques;INTERNACIONAL;A2
PADL;International Symposium on Practical Aspects of Declarative Languages;INTERNACIONAL;B1
PADO;Symposium on Programs as Data Objects;INTERNACIONAL;B4
PADS;ACM/IEEE/SCS Workshop on Parallel and Distributed Simulation;INTERNACIONAL;B1
PADTAD;Workshop on Parallel and Distributed Systems: Testing, Analysis, and Debugging;;B3
PAKM;International Conference on Practical Aspects of Knowledge Management;;B2
PAM;Passive and Active Measurement Conference;INTERNACIONAL;A2
ParCo;International Conference on Parallel Computing;INTERNACIONAL;B3
PATAT;International Conference on the Practice and Theory of Automated Timetabling;INTERNACIONAL;B3
PATMOS;International Workshop on Power and Timing Modeling: Optimization and Simulation;INTERNACIONAL;B2
PBG;IEEE/Eurographics Symposium on Point-Based Graphics;INTERNACIONAL;B2
PCNS;SPIE Conference on Performance and Control of Network Systems;INTERNACIONAL;B5
PCS;International Picture Coding Symposium;INTERNACIONAL;B1
PDC;Participatory Design Conference;INTERNACIONAL;B1
PDCAT;International Conference on Parallel and Distributed Computing Applications and Technologies;INTERNACIONAL;B2
PDCS;International Conference on Parallel and Distributed Computing and Systems;INTERNACIONAL;B3
PDIS;International Conference on Parallel and Distributed Information Systems;INTERNACIONAL;
PDMC-HIBI;International Workshop on Parallel and Distributed Methods in Verification, International Workshop on High Performance Computational Systems;;B4
PDP;Euromicro International Conference on Parallel Distributed and network-based Processing;INTERNACIONAL;B1
PDPTA;International Conference on Parallel and Distributed Processing Techniques and Applications;INTERNACIONAL;B2
PE-WASUN;ACM International Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks;INTERNACIONAL;B2
PEPM;Symposium on Partial Evaluation and Program Manipulation;INTERNACIONAL;B1
PERCOL;Workshop on Pervasive Collaboration and Social Networking;;B1
PerCom;Annual IEEE International Conference on Pervasive Computing and Communications;INTERNACIONAL;A2
PEREL;Workshop on Pervasive Learning, Life, and Leisure;;B1
PERFOMANCE;IFIP International Symposium on Computer Performance Modeling Measurements and Evaluation;INTERNACIONAL;B4
PERVASIVE;International Conference on Pervasive Computing;INTERNACIONAL;A2
PETRA;International Conference on Pervasive Technologies Related to Assistive Environments;;B3
PG;Pacific Conference on Computer Graphics and Applications;;A2
PhiSE;Philosophical Foundations on Information Systems Engineering;;B5
PIMRC;IEEE International Symposium on Personal and Indoor Mobile Radio Conference;INTERNACIONAL;A1
PKAW;Pacific Rim Knowledge Acquisition Workshop;;B4
PKC;International Conference on Theory and Practice of Public-Key Cryptography;INTERNACIONAL;A2
PKDD;European Conference on Principles and Practice of Knowledge Discovery in Databases;INTERNACIONAL;A2
PLC;International Conference on Programming Languages and Compilers;INTERNACIONAL;B4
PLDI;ACM SIGPLAN conference on Programming Language Design and Implementation;INTERNACIONAL;A1
PLILP;Symposium on Programming Language Implementation and Logic Programming;INTERNACIONAL;
PLoP;Pattern Languages of Programs Conference;INTERNACIONAL;B3
PODC;ACM Symposium on Principles of Distributed Computing;INTERNACIONAL;A1
PODS;ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems;INTERNACIONAL;A1
PoEM;The IFIP WG8.1 Working Conference on the Practice of Enterprise Modelling;;B4
POLICY;IEEE International Workshop on Policies for Distributed Systems and Networks;INTERNACIONAL;A2
POPL;ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages;INTERNACIONAL;A1
PPDP;International ACM SIGPLAN Symposium on Principles and Practice of Declarative Programming;INTERNACIONAL;B1
PPoPP;Principles and Practice of Parallel Programming;INTERNACIONAL;A2
PPSC;SIAM Conference on Parallel Processing for Scientific Computing;INTERNACIONAL;B4
PPSN;Parallel Problem Solving From Nature;;A2
PPSWR;Principles and Practice of Semantic Web Reasoning;;B2
PQCrypto;International Workshop on Post-Quantum Cryptography;;B3
PRDC;IEEE Pacific Rim International Symposium on Dependable Computing;;B1
PRIS;International Workshop on Pattern Recognition in Information Systems;;B3
PRO-VE;IFIP Working Conference on Virtual Enterprises;;B3
PROFES;International Conference on Product Focused Software Process Improvement;INTERNACIONAL;B1
ProMAS;International Workshop on Programming Multi-Agent Systems;;B3
PROPOR;International Conference on Computational Processing of Portuguese;INTERNACIONAL;B3
PROSim;International Workshop on Software Process Simulation and Modeling;INTERNACIONAL;
PSB;Pacific Symposium on Biocomputing;;A1
PSC;International Conference on Pervasive Systems and Computing;INTERNACIONAL;B4
PSIVT;Pacific-Rim Symposium on Image and Video Technology;;B3
PSOR;International Conference on Probability, Statistics and Operational Research;INTERNACIONAL;
PST;Conference on Privacy, Security and Trust;;B2
PWC;IFIP International Conference on Personal Wireless Communications;INTERNACIONAL;B1
QEST;International Conference on Quantitative Evaluation of Systems;INTERNACIONAL;B1
QoSA;International ACM Sigsoft Conference on the Quality of Software Architectures;;B5
QSHINE;International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks;;B2
QSIC;International Quality Software Conference;INTERNACIONAL;B1
Qsine;International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks;INTERNACIONAL;B2
QUATIC;International Conference on the Quality of Information and Communications Technology;;B4
RADECS;Conference on RADIATION EFFECTS on COMPONENTS and SYSTEMS;;B3
RAID;International Symposium on Recent Advances in Intrusion Detection;INTERNACIONAL;A2
RANDOM;International Workshop on Randomization and Computation;INTERNACIONAL;B1
RANLP;Recent Advances in Natural Language Processing;;B2
RAW;Reconfigurable Architectures Workshop;INTERNACIONAL;B3
RCIS;International Conference on Research Challenges in Information Science;;B4
RE;IEEE International Requirements Engineering Conference;INTERNACIONAL;A1
RECOMB;Annual International Conference on Research in Computational Molecular Biology;INTERNACIONAL;A2
RECONFIG;International Conference on Reconfigurable Computing and FPGAs;;B4
ReCoSoC;International Workshop on Reconfigurable Communication-centric Systems-on-Chip;;B4
RecSys;ACM Recommender Systems Conference;INTERNACIONAL;B1
REET;Requirements Engineering Education and Training;;B5
REFSQ;Working Conference on Requirements Engineering: Foundation for Software Quality;;B3
RFID-TA;RFID-Technologies and Applications;;B4
RIDE;International Workshop on Research Issues in Data Engineering;INTERNACIONAL;B1
RO-MAN;IEEE International Symposium on Robot and Human Interactive Communication;INTERNACIONAL;B1
ROBIO;IEEE International Conference on Robotics and Biomimetics;INTERNACIONAL;B1
ROBOCOMM;IEEE International Conference on Robot Communication and Coordination;INTERNACIONAL;B4
RR;International Conference on Web Reasoning and Rule Systems;;B3
RRS;Rational, Robust and Secure Negotiation Mechanisms in Multi-Agent Systems;;B4
RSA;RSA Conference;INTERNACIONAL;B1
RSP;International Workshop on Rapid System Prototyping;INTERNACIONAL;B2
RSS;Robotics: Science and Systems Conference;INTERNACIONAL;A2
RST;Reliable Software Technologies;INTERNACIONAL;B2
RST_A;Workshop A RST e os Estudos do Texto;;B5
RTA;International Conference on Rewriting Techniques and Applications;INTERNACIONAL;B1
RTAS;IEEE Real-Time and Embedded Technology and Applications Symposium;INTERNACIONAL;A2
RTCOMP;International Conference on Real-Time Computing Systems and Applications;INTERNACIONAL;B1
RTCSA;International Conference on Real-Time and Embedded Computing Systems and Applications;INTERNACIONAL;B1
RTSS;Real Time Systems Symposium;INTERNACIONAL;A1
RULE;International Workshop on Rule-Based Programming;INTERNACIONAL;
RuleApps;East European Workshop on Rule-Based Applications;;B5
RULEML;International Conference on Rules and Rule Markup Languages for the Semantic Web;;B1
S&P;IEEE Symposium on Security and Privacy S&P);;A1
SAB;International Conference on Simulation of Adaptive Behavior;;B2
SAC;ACM Symposium on Applied Computing;INTERNACIONAL;A1
SAC_A;Selected Areas in Cryptography;;B2
SACI;International Symposium on Applied Computational Intelligence and Informatics;;B4
SACMAT;ACM Symposium on Access Control Models and Technologies;INTERNACIONAL;A1
SAFECOMP;International Conference on Computer Safety: Reliability and Security;INTERNACIONAL;B1
SAFEProcess;IFAC Symposioum on Fault Detection Supervision and Safety of Technical Processes;INTERNACIONAL;B3
SAICSIT;Conference of the South African Institute of Computer Scientists and Information Technologists;;B3
SAINT;International Symposium on Applications and the Internet;INTERNACIONAL;B1
SAM;International Conference on Security and Management;INTERNACIONAL;B3
SAME;Semantic Ambient Media Experiences;;B5
SAMOS;International Conference on Embedded Computer Systems: Architectures, Modeling, and Simulation;;B2
SAMT;Semantics and Digital Media Technologies;;B3
Sandbox;ACM SIGGRAPH Sandbox Symposium on Videogames;INTERNACIONAL;B3
SAPIR;International Workshop on Service Assurance with Partial and Intermittent Resources;INTERNACIONAL;B4
SARNOFF;IEEE Sarnoff Symposium;;B3
SAS;International Static Analysis Symposium;INTERNACIONAL;A2
SASO;IEEE International Conference on Self-Adaptive and Self-Organizing Systems;;B3
SASP;Symposium on Application Specific Processors;;B4
SAST;Brazilian Workshop on Systematic and Automated Software Testing;;B5
SAT;International Conference on Theory and Applications of Satisfiability Testing;INTERNACIONAL;B1
SAVCBS;Workshop on Specification and Verification of Component-Based Systems;INTERNACIONAL;B4
SBAC-PAD;International Symposium on Computer Architecture and High Performance;NACIONAL;B2
SBAI;Simp¢sio Brasileiro de Automaá∆o Inteligente;;B4
SBBD;Simp¢sio Brasileiro de Bancos de Dados;NACIONAL;
SBCARS;Simp¢sio Brasileiro de Componentes, Arquiteturas e Reutilizaá∆o de Software;NACIONAL;B4
SBCCI;Symposium on Integrated Circuits and Systems Design;NACIONAL;B1
SBCM;Simp¢sio Brasileiro de Computaá∆o Musical;NACIONAL;B4
SBCUP;Simp¢sio Brasileiro de Computaá∆o Ub°qua e Pervasiva;;B5
SBES;Simp¢sio Brasileiro de Engenharia de Software;NACIONAL;B2
SBESC;Simp¢sio Brasileiro de Engenharia de Sistemas Computacionais;;B4
SBGames;Simp¢sio Brasileiro de Jogos e Entretenimento Digital;NACIONAL;B4
SBIA;Brazilian Symposium on Artificial Intelligence;NACIONAL;B2
SBIE;Simp¢sio Brasileiro de Inform†tica na Educaá∆o;NACIONAL;B2
SBLP;Simp¢sio Brasileiro de Linguagens de Programaá∆o;NACIONAL;B3
SBM;Eurographics Workshop on Sketch-Based Interfaces and Modeling;INTERNACIONAL;B3
SBMF;Simp¢sio Brasileiro de MÇtodos Formais;NACIONAL;B4
SBPO;Simp¢sio Brasileiro de Pesquisa Operacional;NACIONAL;B4
SBQS;Simp¢sio Brasileiro de Qualidade de Software;NACIONAL;B3
SBRC;Simp¢sio Brasileiro de Redes de Computadores e Sistemas Distribu°dos;NACIONAL;B2
SBRN;Simp¢sio Brasileiro de Redes Neurais;NACIONAL;B3
SBRT;Simp¢sio Brasileiro de Telecomunicaá‰es;;B4
SBSC;Simp¢sio Brasileiro de Sistemas Colaborativos;NACIONAL;B4
SBSE;Simp¢sio Brasileiro de Sistemas ElÇtricos;;B5
SBSEG;Simp¢sio de Seguranáa da Informaá∆o e Sistemas Computacionais;NACIONAL;B4
SBSI;Simp¢sio Brasileiro de Sistemas de Informaá∆o;NACIONAL;B4
SC;ACM/IEEE Conference on High Performance Networking and Computing;INTERNACIONAL;A1
SC_A;International Symposium on Software Composition;INTERNACIONAL;B2
SCA;ACM SIGGRAPH / Eurographics Symposium on Computer Animation;INTERNACIONAL;A2
SCAM;IEEE International Workshop on Source Code Analysis and Manipulation;;B3
SCAN;GAMM / IMACS International Symposion on Scientific Computing Computer Arithmetic and Validated Numerics;INTERNACIONAL;B4
SCC;IEEE International Conference on Services Computing;INTERNACIONAL;B1
SCCC;International Conference of the Chilean Computer Science Society;INTERNACIONAL;B3
SCCI;IEEE Symp. Series on Computational Intelligence;;B5
SCN;International Conference on Security in Communication Networks;INTERNACIONAL;B2
SCOPES;International Workshop on Software and Compilers for Embedded Systems;;B2
SCSC;Summer Computer Simulation Conference;INTERNACIONAL;B3
SCW;IEEE Workshop on Speech Coding;INTERNACIONAL;B2
SDKB;International Workshops on Semantics in Data and Knowledge Bases;;B4
SDM;SIAM International Conference on Data Mining;INTERNACIONAL;A2
SEA;Symposium on Experimental Algorithms;;B1
SEA_A;Software Engineering and Applications;;B4
SEAA;Euromicro Conference on Software Engineering and Advanced Applications;;B1
SEAL;International Conference on Simulated Evolution and Learning;INTERNACIONAL;B3
SEAMS;International Symposium on Software engineering for adaptive and self-managing systems;;B3
SEAS;Workshop on Software Engineering for Agent-Oriented Systems;NACIONAL;B4
SEBIZ;Applications and Business Aspects of the Semantic Web;;B5
SEC;IFIP International Information Security Conference;INTERNACIONAL;B1
SECIII;Social, Ethical and Cognitive Issues on Informatics and ICT;;B5
SeCoGIS;International Workshop on Conceptual Modeling for Geographic Information Systems;INTERNACIONAL;
SECON;IEEE Conference on Sensor Mesh and Ad Hoc Communications and Networks;INTERNACIONAL;B1
SECPERU;International Workshop on Security, Privacy and Trust in Pervasive and Ubiquitous Computing;;B4
SECPRIV;IEEE Symposium on Security and Privacy;INTERNACIONAL;
SECRYPT;International Conference on Information Security and Cryptology;INTERNACIONAL;B4
SECURECOMM;Security and Privacy in Communication Networks;;B1
SECURITY;Usenix Security Symposium;INTERNACIONAL;A1
SECURWARE;International Conference on Emerging Security Information, Systems, and Technologies;;B3
SEDE;Software Engineering and Data Engineering;;B4
SEFM;IEEE International Conference on Software Engineering and Formal Methods;INTERNACIONAL;B1
SEKE;International Conference on Software Engineering and Knowledge Engineering;INTERNACIONAL;B1
SELMAS;International Workshop on Software Engineering for Large-Scale Multi- Agent Systems;INTERNACIONAL;B3
SEMAPRO;International Conference on Advances in Semantic Processing;;B4
SemDial;Workshop on the Semantics and Pragmatics of Dialogue;;B5
SemEval;International Workshop on Semantic Evaluations;INTERNACIONAL;B4
SEMISH;Semin†rio Integrado de Software e Hardware;NACIONAL;B4
SemWiki;Semantic Wiki Workshop;;B3
SENSYS;ACM Conference on Embedded Networked Sensor Systems;INTERNACIONAL;A1
SERA;ACIS International Conference on Software Engineering Research, Management and Applications;;B3
SERP;International Conference on Software Engineering Research & Practice;;B2
SERVICES;IEEE Congress on Services;;B2
ServiceWave;ServiceWave;;B4
SESS;Software Engineering for Secure Systems;;B4
SEW;Annual Software Engineering Workshop;INTERNACIONAL;B2
SForum;Microelectronics Students Forum;;B5
SGP;Eurographics Symposium on Geometry Processing;INTERNACIONAL;B4
SIBGRAPI;Conference on Graphics, Patterns and Images;NACIONAL;B1
SIES;International Symposium on Industrial Embedded Systems;;B3
SIGCOMM;ACM Special Interest Group on Data Communications Conference;INTERNACIONAL;A1
SIGCSE;ACM Technical Symposium on Computer Science Education;INTERNACIONAL;A2
SIGdial;Workshop on Discourse and Dialogue;INTERNACIONAL;B2
SIGDOC;ACM International Conference on Design of Communication;INTERNACIONAL;B1
SIGGRAPH;ACM International Conference on Computer Graphics and Interactive Techniques;INTERNACIONAL;
SIGIR;Annual International ACM SIGIR Conference on Research & Development in Information Retrieval;INTERNACIONAL;A1
SIGITE;Information Technology Education;;B3
SIGMETRICS;ACM Conference on Measurement and Modelling of Computing Systems;INTERNACIONAL;A1
SIGMOD;ACM SIGMOD International Conference on Management of Data Conference;INTERNACIONAL;A1
SIGSEM;ACL Workshop on Prepositions;;B4
SIIE;Simp¢sio Internacional de Inform†tica Educativa;;B4
SIIT;International Conference on Standardization and Innovation in Information Technology;;B4
SIN;International Conference on Security of Information and Networks;;B4
SInT;IEEE International Symposium on Information Theory;INTERNACIONAL;A1
SIPS;IEEE Workshop on Signal Processing Systems Design and Implementation;;B3
SIROCCO;Colloquium on Structural Information and Communication Complexity;INTERNACIONAL;B2
SITE;Society for Information Technology and Teacher Education Conference;INTERNACIONAL;B4
SLE;International Conference on Software Language Engineering;;B5
SLS;Engineering Stochastic Local Search Algorithms;INTERNACIONAL;B4
SLT;IEEE Spoken Language Technology Workshop;;B2
SMAP;International Workshop on Semantic and Social Media Adaptation and Personalization;;B4
SMC;IEEE International Conference on Systems Man and Cybernetics;INTERNACIONAL;B2
SMC_A;Sound and Music Computing Conference;INTERNACIONAL;B2
SMI;IEEE International Conference on Shape Modeling and Applications;INTERNACIONAL;A2
SOAS;Self-Organization and Autonomous Systems in Computing and Communications;;B4
SOC;International Symposium on System-on-Chip;INTERNACIONAL;B4
SOCASE;International Workshop on Service-Oriented Computing: Agents, Semantics, and Engineering;;B4
SOCC;IEEE International SOC Conference;INTERNACIONAL;B2
SoCG;Annual ACM Symposium on Computational Geometry;INTERNACIONAL;A2
SocialCom;International Conference on Social Computing and its Applications;;B4
