ISSN;Nome;Qualis Novo
1677-3071;RESI : Revista Eletrìnica de Sistemas de Informaá∆o;B4
1677-4043;Raz∆o e FÇ;C
1677-9037;Extens∆o e Cultura (UFG);C
1677-9185;SQL magazine;C
1678-1805;Revista da ABRALIN;C
1678-3824;T&C Amazìnia;C
1678-4804;Journal of The Brazilian Computer Society (Online);B2
1678-5878;Journal of the Brazilian Society of Mechanical Sciences and Engineering (Impresso);C
1678-8435;Revista de Engenharia de Computaá∆o e Sistemas Digitais (Impresso);B5
1678-9172;Revista da FA7;C
1679-0731;Revista Brasileira de Finanáas;B5
1679-1916;RENOTE. Revista Novas Tecnologias na Educaá∆o;B5
1679-236X;Gest∆o (Curitiba);C
1679-7817;Latin American Journal of Solids and Structures (Impresso);B4
1679-8171;Brazilian Journal of Operations and Production Management;C
1680-743X;Journal of Data Science (Print);B5
1687-0433;EURASIP Journal on Applied Signal Processing (Internet) (Cessou em 2006. Cont. 1687-6180 EURASIP Jou;
1687-1472;EURASIP Journal on Wireless Communications and Networking;B1
1687-3963;Eurasip Journal on Embedded Systems;B4
1687-4153;EURASIP Journal on Bioinformatics and Systems Biology (Online);B3
1687-6172;EURASIP Journal on Advances in Signal Processing (Print);B1
1687-6180;EURASIP Journal on Advances in Signal Processing (Online);B1
1687-7047;International Journal of Computer Games Technology;B4
1687-8655;Advances in Software Engineering (Print);B4
1725-0463;International Journal of Spatial Data Infrastructures Research;B4
1726-5479;Sensors & Transducers;C
1727-5997;The IEEE Intelligent Informatics Bulletin;B5
1735-5702;Journal of Industrial Engineering International;C
1738-6438;GESTS International Transactions on Computer Science and Engineering;B5
1738-7906;International Journal of Computer Science and Network Security;B5
1738-995X;International Journal of Broadband Wireless Communications;B5
1740-0562;International Journal of High Performance Computing and Networking (Print);B3
1740-4460;Journal of Embedded Computing;B3
1741-1009;International Journal of Knowledge and Learning (Print);B2
1741-1106;International Journal of Web and Grid Services (Print);B1
1741-1114;International Journal of Web and Grid Services (Online);B1
1741-5055;International Journal of Continuing Engineering Education and Life-Long Learning (Online);B5
1741-539X;International Journal of Services Operations and Informatics (Print);B4
1741-8003;International Journal of Advanced Media and Communication (Online);B4
1741-8763;International Journal of Business Process Integration and Management (Print);B4
1741-8771;International Journal of Business Process Integration and Management (Online);B4
1742-4712;International Journal for Infonomics (IJI) (Online);B5
1742-5468;Journal of Statistical Mechanics. Theory and Experiment;B2
1742-6596;Journal of Physics. Conference Series (Online);B2
1743-5110;International Journal of Product Lifecycle Management (Print);C
1743-8187;International Journal of Business Intelligence and Data Mining;B3
1743-9132;International Journal of Managerial Finance;C
1744-0084;International Journal of Web Information Systems (Print);B3
1744-2621;International Journal of Metadata, Semantics and Ontologies (Print);B3
1744-5485;International Journal of Bioinformatics Research and Applications (Print);B3
1744-5493;International Journal of Bioinformatics Research and Applications (Online);B3
1744-5760;International Journal of Parallel, Emergent and Distributed Systems (Print);B2
1745-1345;IEICE Transactions on Communications (Online);B3
1745-7645;International Journal of Operational Research (Print);B3
1746-1375;International Journal of Agent-Oriented Software Engineering (Print);B3
1747-0277;Chemical Biology & Drug Design (Print);B2
1747-8405;International Journal of Security and Networks (Print);B2
1748-0671;International Journal of System of Systems Engineering (Print);B4
1748-5673;International Journal of Data Mining and Bioinformatics;B2
1748-7188;Algorithms for Molecular Biology;A1
1749-9151;International Journal of Teaching and Case Studies;B5
1751-1461;International Transactions on Systems Science and Applications (Print);B4
1751-1577;Journal of Informatrics;B2
1751-648X;International Journal of Innovative Computing and Applications (Print);B5
1751-6498;International Journal of Innovative Computing and Applications (Online);B5
1751-6528;International Journal of High Performance Systems Architecture (Print);B2
1751-7575;Enterprise Information Systems (Print);B2
1751-8113;Journal of Physics. A, Mathematical and Theoretical (Print);B2
1751-858X;IET Circuits, Devices & Systems (Print);B3
1751-8601;IET Computers & Digital Techniques (Print);B1
1751-861X;IET Computers & Digital Techniques (Online);B1
1751-8628;IET Communications (Print);B1
1751-8660;IET Electric Power Applications (Print);B2
1751-8687;IET Generation, Transmission & Distribution (Print);B2
1751-8806;IET Software (Print);B1
1751-8814;IET Software (Online);B1
1752-0509;BMC Systems Biology;B2
1752-6124;International Journal of Social and Humanistic Computing (Print);B4
1752-8887;Journal of Risk Management in Financial Institutions (Print);C
1753-5212;International Journal of Digital Culture and Electronic Tourism (Print);B5
1753-8165;Informatics for Health and Social Care (Online);B3
1754-3916;International Journal of Communication Networks and Distributed Systems (Print);B4
1754-3924;International Journal of Communication Networks and Distributed Systems;B4
1754-8632;International Journal of Autonomous and Adaptive Communications Systems (Print);B4
1755-0556;International Journal of Reasoning-Based Intelligent Systems (Print);B4
1755-2087;International Journal of Knowledge Engineering and Data Mining;B5
1755-8794;BMC Medical Genomics;B1
1756-0764;International Journal of Computational Biology and Drug Design (Online);B5
1756-2104;International Journal of Functional Informatics and Personalised Medicine (Print);B4
1756-2112;International Journal of Functional Informatics and Personalised Medicine (Online);B4
1756-378X;International Journal of Intelligent Computing and Cybernetics (Print);B5
1758-0366;International Journal of Bio-Inspired Computation (Print);B2
1758-0374;International Journal of Bio-Inspired Computation (Online);B2
1791-177X;Journal of Internet Engineering;B5
1793-351X;International Journal of Semantic Computing;B4
1793-7191;Open Systems and Information Dynamics;B3
1796-203X;Journal of Computers;B4
1796-2048;Journal of Multimedia;B4
1796-2056;Journal of Networks;B4
1796-217X;Journal of Software;B4
1798-0461;Journal of Emerging Technologies in Web Intelligence;B4
1806-8324;Brazilian Oral Research (Impresso);C
1806-910X;Revista Direito Empresarial (Curitiba);C
1806-9290;Revista Brasileira de Zootecnia (Online);C
1806-9312;Revista Brasileira de Otorrinolaringologia (Online);B2
1807-0302;Computational & Applied Mathematics;B4
1807-0345;Controle & Automaá∆o;B5
0103-1759;Controle & Automaá∆o (Impresso);B5
1807-1147;RPA Brasil (Maring†);C
1807-1600;Holos (Natal. Online);C
1807-1775;Revista de Gest∆o da Tecnologia e Sistemas de Informaá∆o (Online);C
1807-1953;Journal of Integrated Circuits and Systems;B5
1807-3883;Dois Pontos (UFPR);C
1807-4545;INFOCOMP (UFLA. Impresso);C
1807-5061;ProQuality (UFLA);C
1807-8281;Revista Eletrìnica Informaá∆o e Cogniá∆o;C
1807-8575;Espaáo Energia;C
1807-8656;Acta Scientiarum. Human and Social Sciences;C
1807-8664;Acta Scientiarum. Technology (Online);B5
1807-8893;Em Quest∆o (UFRGS. Impresso);C
1808-0448;Revista Gest∆o Industrial;C
1808-0715;Fonte (Belo Horizonte);C
1808-2793;Scientia Plena;C
1808-3064;Horizonte Cient°fico (UberlÉndia);C
1808-3331;Journal of the Brazilian Air Transportation Research Society;B5
1808-3536;Liinc em Revista;C
1808-4400;Jornalistas da Web;C
1808-5792;Gest∆o & Regionalidade;C
1808-7647;RCA. Revista de Controle e Administraá∆o;C
1809-1946;Cadernos CPQD Tecnologia;C
1809-2640;Revista de Gest∆o da Tecnologia e Sistemas de Informaá∆o (Impresso);C
1809-3957;Revista SODEBRAS;C
1809-4015;Chronos (UNIRIO);C
1809-5577;Bio Farma;C
1809-5585;Revista de Inform†tica Aplicada;C
1809-936X;Faz. Ciància & Tecnologia;C
1809-9807;The International Journal of Forensic Computer Science (Impresso);B5
1815-2406;Communications in Computational Physics (Print);A2
1818-2259;SPIE Newsroom;C
1819-4575;Tecnolog°a & Desarrollo (Trujillo);C
1826-9885;Il Nuovo Cimento della SocietÖ Italiana di Fisica. C. Geophysics and Space Physics (Online);B2
1841-9836;International Journal of Computers, Communications & Control (Print);B3
1845-6421;JCOMSS - Journal of Communications Software and Systems;B5
1852-4249;Papers in Physics;C
1861-2032;Journal on Data Semantics (Print);B3
1861-4280;International Reports on Socio-Informatics;B5
1861-6410;International Journal of Computer Assisted Radiology and Surgery (Print);B2
1862-4472;Optimization Letters;B1
1863-0383;International Journal: Emerging Technologies in Learning;B5
1863-2122;Electronic Communications of the EASST;B2
1864-3027;Transactions on Aspect-Oriented Software Development (Print);B5
1864-5909;Evolutionary Intelligence (Print);B4
1865-0473;Earth Science Informatics (Print);B3
1865-0481;Earth Science Informatics (Internet);B3
1865-0929;Communications in Computer and Information Science (Print);B4
1865-2034;Computer Science (Berlin. Print);B4
1865-7923;International Journal of Interactive Mobile Technologies;B5
1866-4733;Transactions on Computational Science (Print);B5
1866-9956;Cognitive Computation (Print);B4
1867-0202;Business & Information Systems Engineering;B2
1867-2949;Mathematical Programming Computation;B3
1867-4828;Journal of Internet Services and Applications;B4
1868-6478;Evolving Systems;B5
1869-6015;Transactions on Pattern Languages of Programming;B5
1870-350X;Psicolog°a para AmÇrica Latina;C
1870-4115;Revista Pueblos y Frontera Digital;C
1872-4981;Intelligent Decision Technologies;B4
1872-7522;Integration (Amsterdam. Online);B2
1873-4731;International Journal of Approximate Reasoning (Online);A2
1874-3919;Journal of Proteomics (Print);B2
1875-8975;Journal of Visualization (Online);B3
1876-1100;Lecture Notes in Electrical Engineering (Print);C
1877-0509;Procedia Computer Science;C
1879-1433;Simulation practice and theory (Online);B3
1879-2685;Computer Aided Design (Online);B4
1881-4581;Journal of Ehealth Technology and Application;B5
1890-1328;Modeling, Identification and Control (Online): a Norwegian research bulletin;C
1895-1767;Scalable Computing. Practice and Experience;B5
1895-8648;International Journal of Information Technology and Intelligent Computing;B5
1909-0056;Avances en Sistemas e Informatica;C
1916-2790;Botany (Ottawa. Print);B3
1918-3909;International Journal of Computational Bioscience;B5
1930-5346;Advances in Mathematics of Communications;B4
1931-6690;Bayesian analysis (Online);B2
1932-1864;Statistical Analysis and Data Mining;B4
1932-1872;Statistical Analysis and Data Mining (Online);B4
1932-4537;IEEE eTransactions on Network and Service Management;B4
1932-4553;IEEE Journal of Selected Topics in Signal Processing;A1
1932-6203;Plos One;A1
1932-8540;IEEE-RITA;B4
1933-1711;Journal of the American Society of Hypertension;B2
1934-3396;Current Protocols in Bioinformatics;B5
1934-4554;Financial Markets and Portfolio Management;C
1936-6442;Peer-to-Peer Networking and Applications (Print);B4
1937-9412;International Journal of Mobile Computing and Multimedia Communications;B5
1939-1382;IEEE Transactions on Learning Technologies;B5
1939-8018;Journal of Signal Processing Systems for Signal, Image, and Video Technology;B1
1939-8115;Journal of Signal Processing Systems for Signal, Image, and Video Technology (Online);B1
1940-6207;Cancer Prevention Research (Philadelphia);B1
1942-2628;International Journal on Advances in Softw;B5
1943-0620;Journal of Optical Communications and Networking (Print);B1
1943-7978;Journal of Education, Informatics and Cybernetics;B5
1946-3111;Transportation, Theory and Application;C
1946-7729;SIGSPATIAL Special;B5
1947-3176;International Journal of Embedded and Real-Time Communication Systems;B5
1947-4822;Communications of Global Information Technology;B5
1947-5500;International Journal of Computer Science and Information Security;B5
1947-8186;International Journal of Information System Modeling and Design;B4
1947-9158;International Journal of Handheld Computing Research;B5
1947-928X;International Journal of Natural Computing Research;B5
1965-0906;Revue TAL;C
1972-5787;Journal of Formalized Reasoning;B4
1975-9320;Journal of Convergence Information Technology (Gyeongju);B4
1976-4677;Journal of Computing Science and Engineering (Seoul);B4
1976-913X;Journal of Information Processing Systems;B4
1980-2145;Science of Computing;B5
1981-2841;Disciplinarum Scientia. SÇrie Ciàncias Naturais e Tecnol¢gicas;C
1981-6278;RECIIS. Revista Eletrìnica de Comunicaá∆o, Informaá∆o & Inovaá∆o em Sa£de (Ediá∆o em Portuguàs. Onli;C
1981-6286;RECIIS. Electronic Journal of Communication Information and Innovation in Health (English edition. O;C
1981-6766;PontodeAcesso (UFBA);C
1981-6790;Locus Cient°fico (Impresso);C
1981-6804;Locus Cient°fico (ANPROTEC. Online);C
1981-8238;Anais do ... Seminfo;C
1981-9803;P&D: Revista Pesquisa e Desenvolvimento da Aneel;C
1982-176X;Conex‰es : Ciància e Tecnologia;C
1982-2537;Revista da Micro e Pequena Empresa (FACCAMP);C
1982-5498;Igap¢ (CEFET-AM);C
1982-6036;International Journal of Modeling and Simulation for the Petroleum Industry (Impresso);B5
1982-9485;Ensaios Cient°ficos;C
1982176-X;Revista Conex‰es - Ciància e Tecnologia;
1983-0122;Justribut†rio (Fortaleza);C
1983-0823;Revista Brasileira de Biometria;B5
1983-1277;Engenharia de Software Magazine;B5
1983-2664;Revista Educaonline;C
1983-3997;Revista Cient°fica Tecnologus;C
1983-4217;Revista Brasileira de Redes de Computadores e Sistemas Distribu°dos;B4
1983-5604;Sistemas de Informaá∆o (MacaÇ);B5
1983-5930;Culturas Midi†ticas;C
1983-5965;Carta Fundamental;C
1983-6511;H°fen (Uruguaiana. Online);C
1983-8409;Journal of Computational Interdisciplinary Sciences;B5
1983127-7;Engenharia de Software Magazine;
1984-154X;Ciància em Tela;C
1984-2902;iSys: Revista Brasileira de Sistemas de Informaá∆o;B3
1984-6193;Revista Ingepro : Inovaá∆o, Gest∆o e Produá∆o;C
1984-7866;Regrad. Revista Eletrìnica de Graduaá∆o do Univem;C
1984-9508;Revista Multidisciplinar FAP Episteme (Impresso);C
1984-9648;Journal of Aerospace Technology and Management (Impresso);B5
1991-8755;WSEAS Transactions on Computer Research;C
1994-4608;Ubiquitous Computing and Communication Journal (Print);C
2005-4246;International Journal of U- and E-Service, Science and Technology;B5
2070-0733;Advances in Applied Mathematics and Mechanics;B4
2073-7904;Knowledge Management & E-Learning: An International Journal;B5
2075-2180;Electronic Proceedings in Theoretical Computer Science;B5
2092-8637;Journal of Next Generation Information Technology;B5
2150-7988;International Journal of Computer Information Systems and Industrial Management Applications;B5
2150-8097;Proceedings of the VLDB Endowment;A1
2153-2184;ACM Inroads;B4
2172-038X;Renewable Energy and Power Quality Journal;C
2175-0858;Revista Brasileira de Qualidade de Vida;C
2175-2745;Revista de Inform†tica Te¢rica e Aplicada: RITA;B4
2175-4411;Journal of Health Informatics;B5
2176-3275;Revista Brasileira de Hist¢ria da Ciància;C
2176-4859;Pref†cio Online;C
2176-6649;Revista Brasileira de Computaá∆o Aplicada;B5
2176-7998;ReCeT: Revista de Computaá∆o e Tecnologia da PUC-SP;C
2177-8671;Fio da Aá∆o;C
2178-0277;Revista do Programa Brasileiro da Qualidade e Produtividade em Software;B5
2178-6119;Interval Mathematics and Connections in Teaching and Scientific Development;B5
2178-7107;Journal of Information and Data Management - JIDM;B3
2178-7638;RACEF - Revista de Administraá∆o, Contabilidade e Economia da FUNDACE;C
2178-8324;Seguranáa, Justiáa e Cidadania: Pesquisas Aplicadas em Seguranáa P£blica;C
2210-5433;Philosophy & Technology;B5
2211-3428;Cellular Oncology;B2
