ISSN;Nome;Qualis Novo
0218-4885;International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems;B1
0218-8430;International Journal of Cooperative Information Systems;B1
0219-0249;International Journal of Theoretical and Applied Finance;B4
0219-1377;Knowledge and Information Systems;A2
0219-3116;Knowledge and Information Systems (electronic resource);A2
0219-4678;International Journal of Image and Graphics;B2
0219-5259;Advances in Complex Systems;B2
0219-7200;Journal of Bioinformatics and Computational Biology (Print);B1
0219-7499;International Journal of Quantum Information;B2
0223-5234;European Journal of Medicinal Chemistry;B2
0233-1888;Statistics (Berlin);B3
0233-1934;Optimization;B2
0251-4184;Acta Mathematica Vietnamica;C
0253-6269;Archives of Pharmacal Research (Seoul. Print);C
0254-5330;Annals of Operations Research;A2
0256-6419;The FIEP Bulletin;C
0262-8856;Image and Vision Computing;A1
0263-5747;Robotica (Cambridge. Print);B2
0263-7758;Environment and Planning. D, Society & Space (Print);B2
0264-4401;Engineering Computations;B1
0266-352X;Computers and Geotechnics;B1
0266-4720;Expert Systems (Print);B2
0266-4763;Journal of Applied Statistics;B4
267-6192;Computer Systems Science and Engineering;B3
0268-1102;Information Technology for Development;B3
0268-3768;International Journal, Advanced Manufacturing Technology;B2
0269-2821;Artificial Intelligence Review;B1
0270-6474;The Journal of Neuroscience;B1
0271-2091;International Journal for Numerical Methods in Fluids;A1
0271-4159;Computer Graphics World;B3
0272-1716;IEEE Computer Graphics and Applications;A2
0272-1732;IEEE Micro;A1
0272-4960;IMA Journal of Applied Mathematics;B3
0272-4979;IMA Journal of Numerical Analysis;A2
0276-7783;Management Information Systems Quarterly;A1
0277-6715;Statistics in Medicine (Print);B2
0278-0046;IEEE Transactions on Industrial Electronics (1982. Print);A1
0278-0062;IEEE Transactions on Medical Imaging;A1
0278-0070;IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems;A1
0278-3649;The International Journal of Robotics Research;A1
0288-3635;New Generation Computing;B2
0295-5075;Europhysics Letters (Print);B2
0301-150X;Electromyography and Clinical Neurophysiology;B2
0301-4851;Molecular Biology Reports;B2
0302-9743;Lecture Notes in Computer Science;C
0303-6812;Journal of Mathematical Biology (Print);B2
0304-3800;Ecological Modelling;B2
0304-3975;Theoretical Computer Science;A1
0304-4289;Pramana (Bangalore);B2
0305-0548;Computers and Operations Research;A1
0305-0548;Computers & Operations Research;A1
0305-1048;Nucleic Acids Research;B1
0306-4379;Information Systems;A2
0306-4573;Information Processing & Management;A2
0307-904X;Applied Mathematical Modelling;A2
0315-5986;INFOR. Information Systems and Operational Research;B2
0323-3847;Biometrical Journal (1977);B2
0324-8569;Control and Cybernetics;B1
0325-7533;Actas de la Academia Nacional de Ciencias de la Rep£blica Argentina;C
0332-1649;Compel (Bradford);B3
0332-7353;Modeling, Identification and Control (Trykt utg.) (Cessou em 2006);
0340-1200;Biological Cybernetics;A1
0350-5596;Informatica (Ljubljana);B5
0360-0300;ACM Computing Surveys;A1
0360-1315;Computers & Education;A1
0360-3199;International Journal of Hydrogen Energy;B1
0360-8352;Computers & Industrial Engineering;A2
0361-0918;Communications in Statistics. Simulation and Computation;B4
0361-0926;Communications in Statistics. Theory and Methods;
0362-1340;ACM/SIGPLAN Notices;
0362-546X;Nonlinear Analysis;B2
0362-5915;ACM Transactions on Database Systems;A2
0363-0129;SIAM Journal on Control and Optimization;A2
0364-765X;Mathematics of Operations Research;
0364-9024;Journal of Graph Theory;B1
0368-492X;Kybernetes;B2
